,s1_d,s2_d,s3_d,s4_d
0.1326285,0.002399838,0.000846646,0.000711085,0.003919552
0.2151616,0.002718769,0.000849464,0.000122788,0.000240266
0.3550285,0.003022387,0.001119743,0.000125924,0.000251816
0.4327399,0.002967284,0.001074747,0.000182576,0.000158984
0.5259252,0.002986626,0.001061326,0.000198706,0.00016455
0.6327053,0.002522948,0.001099215,0.000216128,0.000176114
0.7141904,0.003230945,0.001437536,0.000165102,0.000118518
0.8200389,0.004082186,0.001379678,0.000218405,0.000134619
0.9192722,0.006422524,0.000976126,0.000234897,0.000107756
0.9929732,0.005585288,0.00080747,0.000240062,0.000112593
1.0932615,0.005843682,0.001084621,0.000243745,0.000138354
1.2787586,0.005484464,0.00103809,0.00024063,0.000241252
1.4513931,0.00457694,0.000978314,0.00023447,0.000237065
1.5370572,0.004741083,0.001036754,0.000180693,0.000227339
1.7256993,0.004844918,0.001379175,0.000211939,0.000237844
1.8193283,0.004956293,0.001309363,0.000177833,0.000238714
1.9917478,0.003388966,0.001085061,0.000179294,0.0002789
2.1522188,0.003351618,0.001114254,0.000127813,0.000275335
2.2214422,0.001999718,0.001332282,0.000112142,0.000273485
2.3209811,0.002255534,0.001294954,8.50E-05,0.000257179
2.5221146,0.00241262,0.000767783,0.000104866,0.000211729
2.5939986,0.002567882,0.000768805,0.000229475,0.000149863
2.6838541,0.002573356,0.000837716,0.000235365,0.000153016
2.7618612,0.002797343,0.00084514,0.000215881,0.000154339
2.8507398,0.003267528,0.000754302,0.000170346,0.000154594
2.9292594,0.003259647,0.000391085,0.000252705,0.000147337
3.0356439,0.00342571,0.00052332,0.000242916,0.000203686
3.2146173,0.002721313,0.000746662,0.000239594,0.000236996
3.2931216,0.002791104,0.000847291,0.000237905,0.000203338
3.4877358,0.003118586,0.000869298,0.000229989,0.000192343
3.6814838,0.003269929,0.000816672,0.000251419,0.000170736
3.7369736,0.002804799,0.000812799,0.000166832,0.000218511
3.9595471,0.002715131,0.000699953,0.000163887,0.000219045
4.0467538,0.002289732,0.000684627,0.000163103,0.000298967
4.11985,0.00341114,0.000687542,0.000148924,0.000309767
4.2145228,0.00322474,0.000681477,4.29E-05,0.000293542
4.2969577,0.003136017,0.000636311,5.57E-05,0.000336005
4.4936063,0.004071458,0.000557662,5.38E-05,0.000350586
4.5659787,0.004696164,0.000336495,7.28E-05,0.000369523
4.6538876,0.003838379,0.000331399,8.62E-05,0.000577484
4.8348716,0.00369067,0.000514203,7.23E-05,0.000538214
5.0369953,0.003589069,0.000624771,7.00E-05,0.000501873
5.1947409,0.003650712,0.000710984,9.27E-05,0.000568446
5.2547174,0.003208074,0.000733086,9.70E-05,0.000558598
5.4288,0.002314853,0.0007788,0.000107867,0.000558669
5.5180097,0.002765406,0.000894601,9.90E-05,0.000459219
5.7122488,0.002858057,0.000846506,0.000101734,0.000181047
5.8058614,0.002524666,0.000767946,0.000120358,0.000204013
5.8938919,0.001986223,0.000841823,0.000127049,0.000314479
5.9873681,0.001376733,0.000843583,0.000130756,0.000254259
6.0928425,0.001503728,0.000560426,0.000190305,0.000280357
6.1836168,0.001503043,0.00051657,0.000187129,0.000277054
6.3784077,0.00141253,0.000598172,0.000169197,0.000247866
6.6089827,0.001376022,0.000643548,0.000147757,0.000131777
6.7912426,0.001666882,0.000718031,0.000156738,0.000129393
