,s1_d,s2_d,s3_d,s4_d
0.1211643,0.003628953,0.001089805,0.00208868,0.000533124
0.3130903,0.004849744,0.001141116,0.000296591,0.00057534
0.418235,0.004965621,0.001136022,0.000308951,0.000580142
0.5236967,0.004749428,0.001298374,0.000395388,0.000562895
0.6165589,0.004732689,0.001302534,0.000383284,0.000578423
0.7186618,0.004672203,0.001578749,0.000273645,0.000515275
0.8174048,0.002909846,0.001283377,0.000276527,0.00042829
0.9089477,0.004009673,0.001166693,0.000272784,0.000439379
1.0159361,0.002586966,0.000892813,0.000305005,0.000439391
1.097921,0.002591634,0.000734801,0.000275536,0.000394219
1.198879,0.002722153,0.000676765,0.000272944,0.000419755
1.3048063,0.001667258,0.000782925,0.000302706,0.000292871
2.1650585,0.00147848,0.000798845,0.000307735,0.000256366
2.2856976,0.001637274,0.000658093,0.000299022,0.000174758
3.1556795,0.001607649,0.000656094,0.000296403,0.000166821
3.3806877,0.001700869,0.000396985,0.000262121,0.000184622
3.6093961,0.001920344,0.000284362,0.00026737,0.000293666
3.6972806,0.002436551,0.00024993,0.000235937,0.00033896
3.873658,0.002650032,0.000245429,0.000218331,0.000331636
3.9481817,0.002952957,0.000191969,0.000199758,0.000379551
4.0281787,0.002718469,0.000294029,0.000200276,0.00021483
4.1220029,0.002864165,0.00031992,0.000238894,0.000213279
4.320141,0.004113068,0.000332996,0.000227445,0.000208331
4.4073969,0.004304408,0.001094183,0.000175913,0.000206953
4.5085073,0.004326723,0.001336741,0.000158416,0.000240947
4.5893894,0.003657209,0.001340874,0.000159944,0.000273186
4.6802794,0.002773154,0.001327629,0.000151612,0.000196932
4.7868838,0.002555393,0.001079349,0.000183737,0.000162663
4.9678964,0.003321716,0.000973336,0.00014079,0.000177153
5.0320751,0.002509342,0.000952985,0.000157889,0.000150833
5.1178035,0.002559982,0.001128707,0.000166878,0.000290239
5.2094972,0.002764819,0.001158809,0.000129184,0.000283859
5.2896799,0.00179385,0.001160527,0.000124381,0.000381072
5.3904008,0.001794261,0.000928744,0.000129585,0.00039357
5.5841522,0.002062598,0.001006648,0.000138784,0.000194262
5.8024057,0.002037897,0.00091629,0.000136514,0.000274172
5.9205212,0.002095854,0.000942326,0.000136011,0.000206296
6.181818,0.002343964,0.000953265,0.00014746,0.000321941
6.3910087,0.002701343,0.001147395,0.000127617,0.000530863
6.4816922,0.003218592,0.001148193,0.000101611,0.00055659
6.584617,0.003462412,0.001087086,0.000151957,0.000532722
6.6731409,0.003365887,0.001078367,0.000128435,0.000562921
6.7646362,0.003394018,0.00102745,0.000181014,0.000518472
6.8457404,0.002805778,0.000766731,0.000219425,0.000503492
6.9472724,0.002264332,0.000760009,0.000203811,0.000552707
7.0466145,0.002619367,0.000768964,0.000187953,0.000403536
7.1367761,0.002626669,0.000836572,0.000190045,0.00049094
7.2901238,0.002459949,0.000806888,0.000186307,0.000466248
7.3586616,0.001494708,0.000640253,0.00019663,0.000336365
7.4367661,0.001335002,0.000830131,0.000208917,0.000410291
7.5100251,0.013495935,0.000954033,0.004370498,0.126604285
7.5845035,0.019002528,0.001314131,0.004304628,0.170088572
7.6834335,0.020810478,0.001253113,0.004326726,0.200260662
7.8807608,0.021777906,0.001608954,0.004152972,0.212964532
8.0404414,0.023539728,0.001672065,0.003969352,0.210500039
8.1388924,0.027331825,0.001676843,0.003920518,0.197216644
8.235153,0.028276538,0.001477985,0.003770378,0.172696363
8.3146237,0.02807169,0.001399005,0.003527847,0.159132999
8.4962338,0.029892164,0.001899002,0.003208318,0.146793933
8.5815353,0.027808402,0.001550434,0.003191161,0.14064623
8.7690048,0.003207724,0.00188558,9.90E-05,0.122835053
8.840122,0.003102225,0.001620634,0.000130536,0.11880589
9.0179087,0.002914401,0.002758902,0.000127508,0.105067966
9.2033829,0.002755878,0.002956958,0.000116581,0.081782978
9.2726395,0.003897323,0.002309946,0.000118682,0.064371938
9.4681064,0.004076551,0.002141529,8.23E-05,0.042533555
9.6588533,0.004001421,0.002913842,8.17E-05,0.0541253
9.7281809,0.003598488,0.003027799,7.20E-05,0.061868313
9.8017473,0.003452758,0.003874977,7.64E-05,0.062610013
9.8937455,0.00296498,0.004178826,5.40E-05,0.054981579
9.9748748,0.003457662,0.004718032,7.62E-05,0.055214543
10.1627469,0.003509361,0.004705604,4.34E-05,0.062745507
10.2280239,0.003502337,0.004092588,6.68E-05,0.069893794
10.373387,0.003554649,0.002923544,8.13E-05,0.077060997
10.4658831,0.002758126,0.003895037,0.000114285,0.078078227
10.6670437,0.00339225,0.004074606,0.000130688,0.067595171
10.7675541,0.004004947,0.003370235,0.000168544,0.06235311
10.8601134,0.00405852,0.003246354,0.000157504,0.058266432
10.9504813,0.004286612,0.002444251,0.000164373,0.055376752
11.0524899,0.00427265,0.001921404,0.000177058,0.058130413
11.2409881,0.003403239,0.001667459,0.000107745,0.05513924
11.3186286,0.003716329,0.001659104,9.25E-05,0.059947479
11.5164905,0.004730253,0.001534762,9.39E-05,0.062304619
11.7285242,0.004725918,0.00211422,0.000100286,0.065887768
11.8974886,0.004065486,0.002773343,9.56E-05,0.067461756
12.0681285,0.00368033,0.003200311,9.53E-05,0.075384755
12.2390413,0.003151458,0.003255859,9.96E-05,0.063005105
12.3152407,0.004073042,0.003001062,9.56E-05,0.054671547
12.4053777,0.004555251,0.00255447,0.000129636,0.056252639
12.5066017,0.004136406,0.002660157,9.87E-05,0.060545123
12.6934927,0.004815472,0.002750448,9.10E-05,0.071302798
12.7614919,0.004719802,0.002819884,9.57E-05,0.070849001
12.8447048,0.003807699,0.002909821,0.000199075,0.062920486
13.0209972,0.004557756,0.002549873,0.00025526,0.062767154
13.2039287,0.004631542,0.001558814,0.000304773,0.064728532
13.2804743,0.003777465,0.001281803,0.000301525,0.068703756
13.3718415,0.00379492,0.001533549,0.000263103,0.07261775
13.5528655,0.003179624,0.00149287,0.000260314,0.068758434
13.6351152,0.003552767,0.001601178,0.000195138,0.066200223
13.8280198,0.003478357,0.001473089,0.000149769,0.065368475
13.9008555,0.004844547,0.001692671,0.000189038,0.064278805
13.9888611,0.004788718,0.001641778,0.000187645,0.061069244
14.1752652,0.004858452,0.001519049,0.000184222,0.061376315
14.368743,0.004870205,0.001646265,0.000224407,0.058333891
14.4623376,0.004308558,0.001975037,0.000289148,0.058425434
14.741655,0.004396357,0.002334264,0.000268641,0.056713785
14.8218359,0.004918211,0.002139874,0.000262844,0.064373968
14.8958398,0.005105984,0.001991916,0.000250924,0.072367909
15.00773,0.005206905,0.001950439,0.000262964,0.065593653
15.2238768,0.005385689,0.001865895,0.000279789,0.051685765
15.3025977,0.004132593,0.000905697,0.00028029,0.052569717
15.3979668,0.005479747,0.000571509,0.000244014,0.057831283
15.4822809,0.005213383,0.000360511,0.000357261,0.066800821
15.6693945,0.003904003,0.000986584,0.000323883,0.079682845
15.7571154,0.003900573,0.000911533,0.000296192,0.085276352
15.869375,0.005003754,0.000729765,0.000275042,0.080611848
15.9513278,0.003295459,0.000663605,0.000276626,0.067122702
16.0289629,0.002188732,0.001250048,0.000275835,0.064613955
16.164609,0.002228606,0.001374922,0.000277206,0.064085272
16.4369933,0.002433905,0.001838478,0.000259238,0.063283301
16.4924616,0.001861687,0.001862991,0.000263244,0.067244313
16.5825789,0.001521335,0.0018977,0.000369429,0.066007209
16.6634732,0.002236944,0.002344416,0.000260782,0.061032527
16.7374056,0.002293154,0.001710764,0.000337421,0.047552058
16.8402259,0.002117037,0.001751568,0.000313926,0.034500286
16.9391181,0.001508853,0.001438111,0.000313644,0.044761501
17.0327662,0.00151806,0.001531279,0.000279914,0.062477318
17.1081273,0.001474874,0.001758933,0.00028224,0.073047014
