R1,R2,R3,R4,Load
0.013199442,0.000985196,0.012031361,2806.188669,0.16
0.005370683,0.004525566,0.001689255,1741.772568,0.16
0.001416152,0.00080788,0.000942185,1067.318872,0.16
0.001325053,0.003772676,0.001926453,1439.776522,0.16
0.003097589,0.001700914,0.000987934,1328.84244,0.16
0.00262638,0.001110416,0.001116945,1406.064514,0.16
0.003454132,0.000909529,0.001069027,776.5758939,0.16
0.006292414,0.00066662,0.001137953,1284.95951,0.16
0.002563372,0.001999833,0.000640745,1073.899959,0.16
0.002514393,0.002285081,0.001527892,1373.159588,0.16
0.005165745,0.001945323,0.001485404,1271.794901,0.16
0.005218236,0.001453695,0.000733824,1113.925334,0.16
0.006501313,0.001611096,0.000857139,1072.797529,0.16
0.002888972,0.002347765,0.00076582,1262.750426,0.16
0.004332359,0.002466946,0.000953269,1030.415113,0.16
0.003977516,0.003227369,0.00129014,1228.278732,0.16
0.003142422,0.001467246,0.00098553,1337.375188,0.16
0.001999208,0.00138455,0.001170415,1273.072754,0.16
0.002923416,0.001997235,0.000608863,1088.54067,0.16
0.002363616,0.001605047,0.000397616,1174.350886,0.16
0.00446391,0.00140212,0.000965941,875.7445878,0.16
0.006506947,0.001159099,0.001024926,908.1404769,0.16
0.005596034,0.000817839,0.001021543,1032.451497,0.16
0.005476757,0.001461199,0.001011126,1252.695607,0.16
0.000650668,0.001647729,0.0008253,1123.30726,0.16
0.000991368,0.001720457,0.000602628,890.0574894,0.16
0.002338103,0.002656684,0.00054966,955.3890346,0.16
0.002292372,0.00292586,0.00076949,1148.522426,0.16
0.001749546,0.002254701,0.001291711,1020.646686,0.16
0.022620862,0.001003338,0.011890189,8163.50351,0.28
0.004033807,0.001540275,0.005157153,4832.199727,0.28
0.006790836,0.001297347,0.004401968,5422.47991,0.28
0.004009821,0.001997388,0.003572674,4978.594421,0.28
0.003567731,0.003242474,0.003871334,6108.294972,0.28
0.001283044,0.002440998,0.002999531,5650.019864,0.28
0.002956258,0.001608091,0.002818631,4950.458543,0.28
0.002641147,0.004359059,0.004315148,5680.898255,0.28
0.00699959,0.000973703,0.003080056,4513.922676,0.28
0.004020212,0.00164496,0.004348522,5333.48615,0.28
0.00648105,0.003184235,0.00393535,6385.796317,0.28
0.004767518,0.001086331,0.003977957,6910.40916,0.28
0.004767518,0.001086331,0.003977957,6910.40916,0.28
0.007639786,0.002934958,0.002955578,5997.655094,0.28
0.007369869,0.001667407,0.004062648,5412.704822,0.28
0.002932182,0.00494003,0.004407804,6627.545645,0.26
0.005438188,0.001773616,0.002446417,5483.905936,0.28
0.004201138,0.001213599,0.002302797,5920.143461,0.26
0.003322269,0.001614065,0.00213808,6420.873751,0.28
0.004166192,0.002247509,0.001655058,5372.118661,0.28
0.001864158,0.002720925,0.002043339,5163.375931,0.28
0.057604648,0.002056942,0.041576504,20553.01021,0.42
0.027046133,0.001490864,0.018725009,17677.51323,0.42
0.011289085,0.003601142,0.014671263,14270.17973,0.42
0.016196769,0.004154292,0.015085639,15279.11611,0.42
0.020712957,0.001583892,0.019917084,16698.01791,0.42
0.019667789,0.004277068,0.015579844,39269.63345,0.42
0.016847812,0.002309379,0.012745133,14771.09857,0.42
0.013286833,0.001596523,0.003616939,22001.31964,0.44
0.012386782,0.004947761,0.015235661,34044.78946,0.42
0.014665756,0.003826076,0.012811161,36509.30284,0.42
0.022703644,0.000844439,0.017148925,48536.7568,0.42
0.013808955,0.003220883,0.012116529,33537.11338,0.42
0.013186967,0.001213275,0.015895208,60765.74697,0.42
0.014830966,0.002154388,0.012622862,48314.23551,0.42
0.009922369,0.002481311,0.011524275,56607.90307,0.42
0.015182452,0.001536434,0.012661108,56135.77534,0.42
0.004493812,0.001956491,0.010054583,51588.96461,0.42
0.007229757,0.00333895,0.009168078,47426.08455,0.42
0.02223299,0.00029746,0.011074748,54404.68255,0.42
0.016290166,0.002364203,0.009388463,46798.70836,0.42
0.097941773,0.00184455,0.056059756,146601.0613,0.56
0.043694378,0.007790954,0.032198028,200637.5295,0.54
0.014279399,0.007795041,0.014759456,190236.1389,0.56
0.021345886,0.021582713,0.034612659,212466.7681,0.54
0.057048398,0.016381248,0.040693486,9.47e+16,0.56
0.035713793,0.020353822,0.034259769,2.07e+16,0.54
0.031560608,0.019944154,0.036307105,843612000000.0,0.56
0.03436338,0.015846411,0.030699482,2.61e+19,0.56
0.037558869,0.016298864,0.029109722,8.71e+17,0.54
0.029477295,0.020849385,0.036334606,8.61e+17,0.56
0.036537332,0.022637054,0.033226888,5.79e+16,0.54
0.02514511,0.026063065,0.035319119,1.11e+17,0.56
0.029107612,0.020489379,0.032394529,4.39e+17,0.56
0.040658569,0.024374716,0.034262841,1.92e+18,0.56
0.028913565,0.016182617,0.021132465,6.02e+17,0.56
0.029101846,0.01824932,0.03149812,2.24e+17,0.54
0.043164989,0.027786126,0.032222402,6.48e+17,0.56
0.016719174,0.01331942,0.024177634,1.02e+17,0.56
0.028246218,0.016460019,0.026577025,2.46e+17,0.56
0.032419387,0.016744001,0.032806925,1.87e+18,0.54
0.224142964,0.0197905,0.103794243,3e+17,0.72
0.119952661,0.047318705,0.095277407,9.26e+16,0.72
0.05810995,0.054149555,0.052320769,8.8e+17,0.72
0.050997165,0.029926356,0.05165581,8.73e+16,0.72
0.127169593,0.059842742,0.066704258,7.07e+16,0.72
0.101066849,0.053922733,0.075918074,3.06e+17,0.72
0.088198807,0.086112958,0.06659656,5.42e+16,0.72
0.096937699,0.071829399,0.079403157,4.87e+18,0.7
0.061514637,0.058852693,0.0543524,1.73e+18,0.72
0.075313158,0.064189153,0.06997296,8.44e+18,0.72
0.074127634,0.067472255,0.063234556,4.24e+19,0.72
0.070087335,0.06495656,0.071520684,2.37e+17,0.72
0.081734165,0.073127995,0.069522985,2.7e+17,0.72
0.059103674,0.059446262,0.059281249,4.56e+18,0.7
0.078460008,0.07469054,0.074245281,6.57e+16,0.72
0.039635324,0.050052867,0.044199242,4.04e+19,0.7
0.039477698,0.067591295,0.058622781,9.2e+18,0.72
0.06598802,0.070167518,0.062258857,1.01e+18,0.72
0.060711965,0.074759122,0.06237492,1.73e+17,0.7
0.089111189,0.075700876,0.065072437,2.75e+17,0.7
0.343758792,0.020100432,0.191565695,1.05e+17,0.88
0.139580984,0.044332611,0.114723404,8.29e+17,0.9
0.166934062,0.047854068,0.122611264,3.92e+17,0.9
0.169694228,0.067496173,0.133293055,6.18e+16,0.86
0.120455169,0.070085886,0.099850027,1.4e+20,0.88
0.147740026,0.088262752,0.112710915,1.08e+17,0.88
0.154811126,0.089867358,0.10500647,1.13e+17,0.86
0.126696647,0.106939984,0.110704814,5.06e+17,0.88
0.126008243,0.134427647,0.11368827,9e+16,0.88
0.080660086,0.060473409,0.064423849,1.06e+18,0.88
0.111916677,0.095039609,0.079109276,1.58e+17,0.88
0.104783935,0.087433921,0.0896421,3.75e+17,0.9
0.075043579,0.087590876,0.077601994,6.57e+20,0.88
0.104930331,0.117162795,0.081335133,8.21e+16,0.88
0.144120788,0.14788477,0.101776445,1.57e+17,0.88
0.107462007,0.13107011,0.091144788,6.13e+16,0.88
0.114018055,0.135998342,0.094994077,7.79e+17,0.86
0.085622305,0.11139877,0.08340112,1.45e+17,0.88
0.088025489,0.100615207,0.087703994,4.95e+17,0.9
0.085509161,0.122779507,0.077681777,1.4e+18,0.88
0.388713326,0.099102842,0.273780275,1.22e+17,1.06
0.243981766,0.138019655,0.176254002,2e+17,1.06
0.204254925,0.199603247,0.157599478,7.97e+16,1.08
