R1,R2,R3,R4,Load
0.001565735,0.006536351,0.000443384,0.012456393,0.12
0.001378351,0.005319878,0.000523163,0.015149554,0.12
0.001760637,0.006192109,0.00085419,0.010206781,0.12
0.002387282,0.00580574,0.000424497,0.008712431,0.12
0.001480009,0.004397537,0.000928733,0.007537603,0.12
0.00128915,0.00485419,0.000492871,0.005694443,0.12
0.002234839,0.005574675,0.000652525,0.007757767,0.12
0.000797236,0.005495084,0.000623868,0.009411823,0.12
0.002133934,0.005770527,0.000286192,0.006849845,0.12
0.005052746,0.00909876,0.000723885,0.009188521,0.12
0.002661379,0.00316915,0.000369986,0.006854496,0.12
0.001845314,0.004108939,0.000426572,0.008672319,0.12
0.001955468,0.002744753,0.00072053,0.009881516,0.12
0.002978712,0.004932039,0.000355937,0.006899718,0.12
0.004468917,0.002846426,0.000409519,0.007822488,0.12
0.00536591,0.003416617,0.001101787,0.006107521,0.12
0.001810126,0.005693281,0.000433264,0.006527871,0.12
0.004330532,0.005602834,0.000531871,0.00723035,0.12
0.001029989,0.007530404,0.000737576,0.007910129,0.12
0.004207799,0.003917861,0.000350011,0.007078595,0.12
0.001534456,0.004943405,0.000281477,0.006241219,0.12
0.004541973,0.004237242,0.000292101,0.004136952,0.12
0.015892292,0.109160671,0.007783172,0.344770783,0.26
0.015559468,0.053160265,0.005170623,0.19610547,0.26
0.00967458,0.050248271,0.002826589,0.167734906,0.26
0.012688662,0.062978048,0.00601603,0.217769356,0.26
0.013127334,0.055757675,0.00606288,0.220532026,0.26
0.015339803,0.059859725,0.006489441,0.201653511,0.26
0.01185862,0.054386295,0.009059453,0.222202678,0.26
0.011782879,0.033131137,0.005189434,0.149661658,0.26
0.011946064,0.038194063,0.003932049,0.151577752,0.26
0.013745844,0.046845308,0.005309104,0.189136172,0.26
0.018020114,0.040831947,0.006131045,0.192945042,0.26
0.012289383,0.044034994,0.00701192,0.203028812,0.26
0.013723696,0.03790457,0.005155106,0.168466251,0.26
0.01417283,0.035709419,0.005647925,0.162431493,0.26
0.012801473,0.045246263,0.007198125,0.175559756,0.26
0.008888205,0.059864722,0.005876933,0.186088287,0.28
0.015431867,0.048632969,0.007573847,0.207274423,0.26
0.009080668,0.030078672,0.00551929,0.139005647,0.26
0.007176066,0.017075151,0.002232817,0.067580098,0.26
0.013469723,0.046770657,0.006487519,0.185627651,0.26
0.01426079,0.055293901,0.007286138,0.190360336,0.26
0.008492889,0.043111664,0.00565541,0.128173676,0.26
0.005568485,0.038957875,0.003559172,0.106353,0.26
0.012900051,0.042643102,0.005896617,0.142284704,0.26
0.01323827,0.036690192,0.004551975,0.134007307,0.26
0.008276298,0.031624651,0.005107199,0.13528532,0.26
0.005813595,0.0472453,0.006851649,0.172991046,0.26
0.012520611,0.046320218,0.006070701,0.196639836,0.26
0.011494742,0.038201198,0.005726443,0.15579886,0.26
0.013421733,0.032943469,0.005322744,0.141390419,0.26
0.014955868,0.034199882,0.005653082,0.148066886,0.26
0.005405198,0.041488095,0.005315463,0.160811533,0.26
0.129542318,0.36807885,0.049572853,1.871981092,0.42
0.086972679,0.251204797,0.034325661,1.146307077,0.42
0.0639147,0.197530202,0.028535069,1.007671115,0.42
0.050982983,0.127474634,0.015588913,0.675249008,0.4
0.051546763,0.140944273,0.0146228,0.618637047,0.4
0.070506083,0.165319803,0.023509267,0.839945029,0.42
0.060352496,0.179528916,0.023930808,0.908746956,0.42
0.069241974,0.164716103,0.023174967,0.785555043,0.42
0.070283493,0.153145544,0.024416516,0.81235729,0.42
0.061271713,0.152705374,0.021092884,0.758274245,0.42
0.059837492,0.123358111,0.017957899,0.69719565,0.4
0.043065943,0.124063045,0.014358671,0.645945744,0.4
0.060331874,0.139553536,0.017419207,0.76376341,0.42
0.03890912,0.154258957,0.019527997,0.755114808,0.42
0.05356998,0.110977012,0.01844431,0.661813841,0.42
0.046353415,0.134185949,0.014251395,0.673632703,0.42
0.047147403,0.144376905,0.021557333,0.717315861,0.42
0.059008532,0.115987958,0.01797239,0.664425204,0.4
0.035346904,0.062308962,0.010434407,0.408447722,0.4
0.039956364,0.092155887,0.008977971,0.43865869,0.4
0.05257814,0.13303938,0.020790569,0.696581146,0.42
0.042871691,0.093650898,0.012589184,0.48562923,0.4
0.049614268,0.129890069,0.014591441,0.676701337,0.42
0.044629557,0.117410684,0.016344814,0.637407803,0.42
0.295536966,0.597238411,0.094981168,3.259366887,0.58
0.200871932,0.359245598,0.057146245,1.988496752,0.58
0.124274664,0.266998836,0.035163608,1.51072593,0.58
0.173365046,0.350415459,0.044181672,2.02783522,0.56
0.1285546,0.249167314,0.03477652,1.516138045,0.58
0.111361538,0.193049046,0.033139642,1.156136257,0.56
0.169957114,0.362165279,0.042465552,1.952640098,0.56
0.165122789,0.327661421,0.03988286,1.842174059,0.56
0.127188078,0.268397508,0.030611257,1.481505211,0.56
