,s1_d,s2_d,s3_d,s4_d
0.1219091,0.004368434,0.00044376,0.001293706,0.005241047
0.1993592,0.004370584,0.00026416,0.000124392,0.00023986
0.2879927,0.001884403,0.000348419,0.000148813,0.000234616
0.3762355,0.001948587,0.000325074,0.000111671,0.000236385
0.4514763,0.003052369,0.000443029,9.17E-05,0.000169548
0.5555423,0.003064264,0.000685696,0.000106203,0.000221318
0.6434723,0.002366916,0.00055375,0.000111921,0.000224539
0.8320289,0.002042198,0.000606829,0.00013868,0.00026018
0.8971208,0.001374936,0.000611325,0.00017052,0.000200425
1.0973699,0.001437135,0.000607877,0.000157084,0.000213984
1.3020999,0.002553281,0.000739608,0.000201922,0.000205074
1.3958041,0.002878203,0.001088083,0.000214095,0.000186239
1.4722081,0.003396433,0.001348435,0.000174667,0.000151237
1.5832926,0.003413132,0.001483494,0.000163585,0.000141844
1.6556491,0.002510371,0.001309888,0.000177025,0.00018676
1.7652568,0.002316251,0.001200612,0.000192552,0.000134883
1.9557176,0.002448709,0.001438904,0.000177767,0.000127788
2.02854,0.002622014,0.001342827,0.00020645,6.99E-05
2.1642181,0.002583648,0.001583752,0.000194435,0.000136443
2.2403423,0.002562765,0.002289009,0.000194435,0.000148148
2.3511281,0.001476123,0.002447041,0.000172013,0.000167822
2.4300978,0.001444384,0.002141497,0.000162801,0.000168225
2.5350139,0.001214094,0.002168675,0.000178291,0.0001887
2.6086958,0.001112361,0.002045652,0.000169153,0.000193012
2.7008098,0.00136785,0.001893404,0.000167412,0.000161482
2.7854675,0.001327455,0.002501176,0.000120854,0.000165112
2.8707225,0.001328019,0.002372667,0.000135448,0.000169799
2.9872028,0.00124443,0.002886985,9.48E-05,0.000169799
3.0579673,0.002086656,0.002729966,0.000101554,0.000138747
3.1444443,0.002114085,0.002020612,0.000120305,0.000157827
3.2380803,0.001327099,0.00134793,0.000111662,0.000134022
3.3260086,0.001316761,0.001056873,9.31E-05,0.000150095
3.5053027,0.001346251,0.001066221,0.000106325,0.000125377
3.6130743,0.001435637,0.000809155,5.08E-05,0.000143863
3.7020162,0.001317612,0.001117459,4.66E-05,0.000148825
3.7842134,0.001163938,0.001663731,4.94E-05,0.000159945
3.8718346,0.001577111,0.001725572,4.94E-05,0.000142356
3.9710861,0.001745173,0.001365033,5.00E-05,0.000148033
4.0709393,0.001282237,0.0013631,4.97E-05,0.0001734
4.1450124,0.001396762,0.001070969,5.82E-05,0.000316525
4.2385062,0.001146897,0.001124401,3.59E-05,0.000316399
4.3186288,0.001477154,0.001054348,7.20E-05,0.000318124
4.4035944,0.001425607,0.001370351,6.60E-05,0.000364651
4.5966547,0.001210514,0.001215608,7.79E-05,0.000294367
4.6972186,0.001841114,0.001271487,0.000144758,0.000289933
4.8669026,0.002053051,0.001153125,0.000116027,0.000271848
4.952119,0.002261096,0.002328184,0.000136196,0.000281042
5.0330075,0.002365997,0.002719766,0.000136185,0.00029319
5.144642,0.002256841,0.002626993,0.000169839,0.000205728
5.2308339,0.002453353,0.002894222,0.000170458,0.000200309
5.3215097,0.002477233,0.002898263,0.000171002,0.000204006
5.3985348,0.002327052,0.002852239,0.000148986,0.000233793
5.5834977,0.002317958,0.003549268,0.000147686,0.000168271
5.6449989,0.002618571,0.003622444,0.000162438,0.000155488
5.7745606,0.002433367,0.003474238,6.88E-05,0.000182893
5.9669632,0.001759981,0.003432775,6.91E-05,0.000173548
