R1,R2,R3,R4,Load
0.001316395,0.00057496,0.000150611,0.000400659,0.2
0.001853458,0.001656719,0.001198847,0.022198334,0.2
0.000954352,0.00194872,0.00096985,0.021613496,0.2
0.001038666,0.00090249,0.001308272,0.022351526,0.2
0.00302068,0.000833053,0.0011094,0.022492563,0.2
0.002580147,0.001240059,0.001132848,0.020708996,0.2
0.000919892,0.003543112,0.000355113,0.015701012,0.2
0.004402632,0.004253746,0.000982059,0.015095336,0.2
0.002562184,0.000570149,0.000669341,0.018974987,0.2
0.0026415,0.00141826,0.000687773,0.013721868,0.2
0.002346164,0.00233223,0.000990544,0.018249742,0.2
0.005527714,0.000438737,0.000634802,0.016235229,0.2
0.005489142,0.000873087,0.001050586,0.015135137,0.2
0.005231023,0.001131383,0.001356792,0.017570405,0.2
0.002309266,0.001369418,0.000978637,0.012973457,0.2
0.003232283,0.000876913,0.000941531,0.012607367,0.2
0.00190965,0.002094531,0.001256403,0.019714635,0.2
0.001255134,0.00152973,0.000968143,0.011683102,0.22
0.001743029,0.002282012,0.001181813,0.013941516,0.2
0.001057124,0.001118349,0.001265053,0.017321456,0.2
0.001997048,0.001447296,0.00030329,0.000239931,0.32
0.004215925,0.000779352,0.000334677,0.073074249,0.32
0.00328211,0.001458514,0.000923325,0.108372563,0.32
0.002696155,0.001537987,0.00088892,0.058148083,0.32
0.005832833,0.001578402,0.00143788,0.094031019,0.32
0.003262063,0.003258481,0.001311291,0.061004692,0.32
0.001774417,0.000528436,0.001189227,0.066783221,0.3
0.002768805,0.001393291,0.000750908,0.084641811,0.3
0.005214054,0.001543306,0.000902023,0.06609266,0.32
0.003135464,0.002108296,0.000201883,0.062811966,0.32
0.002287854,0.000976949,0.000199168,0.069034564,0.3
0.005019585,0.002177616,0.001097772,0.047150094,0.32
0.001267924,0.003372899,0.000787499,0.051216047,0.32
0.003617434,0.002247751,0.000896035,0.054367803,0.32
0.002069991,0.001607362,0.000848741,0.052833829,0.32
0.002252372,0.000784286,0.000898804,0.063464503,0.32
0.002463957,0.003166355,0.00079185,0.039679635,0.3
0.001400524,0.001775874,0.000600566,0.055717975,0.32
0.002641134,0.001620938,0.000767187,0.021790293,0.32
0.00187752,0.001905683,0.000413043,0.063002285,0.3
0.002865417,0.001308191,0.000376206,0.000345428,0.42
0.015539189,0.003107782,0.000834083,0.600113666,0.42
0.007040967,0.001214818,0.00036108,0.401824133,0.42
0.010154724,0.004367677,0.000696196,0.421391055,0.44
0.01034379,0.001274632,0.000555798,0.313317462,0.42
0.010365452,0.003014837,0.001123545,0.344017912,0.42
0.007458966,0.002701823,0.000768678,0.298996516,0.44
0.004370906,0.000974094,0.00057834,0.230481464,0.44
0.008137869,0.005330194,0.00075443,0.338530808,0.42
0.006393039,0.001836488,0.000574551,0.272035402,0.42
0.004726908,0.002387892,0.0005027,0.147377736,0.44
0.008769788,0.004278648,0.001271953,0.298860815,0.44
0.009640549,0.003103173,0.000438731,0.287085173,0.42
0.005380366,0.001812092,0.001012092,0.287763586,0.42
0.007242691,0.001439995,0.00086583,0.282763345,0.44
0.007301136,0.001757625,0.000600212,0.282770468,0.44
0.008744398,0.003866777,0.001056976,0.256820902,0.42
0.010471054,0.003037146,0.000712303,0.224837251,0.42
0.009950751,0.001891463,0.000807078,0.236786113,0.44
0.005673057,0.002175573,0.000395148,0.135050586,0.44
0.001923823,0.004250308,0.000181024,0.00042996,0.56
0.028745746,0.003000196,0.003049458,1.010062275,0.56
0.017040016,0.002708055,0.004591931,0.760886505,0.56
0.023377744,0.002920764,0.005517615,0.469135657,0.56
0.015137624,0.001450074,0.00417415,0.719454576,0.56
0.017168359,0.002824119,0.004581415,0.646102589,0.56
0.023570756,0.003723288,0.002544475,0.600902202,0.56
0.027098578,0.002000137,0.002927392,0.72247877,0.56
0.015036668,0.001456577,0.003069088,0.419636916,0.56
0.024962021,0.002840627,0.003755403,0.52273587,0.56
0.018462577,0.002857269,0.003202667,0.555621755,0.56
0.022441353,0.003477371,0.003086236,0.653333721,0.56
0.016492754,0.002865685,0.00725578,0.541956199,0.58
0.024826006,0.002446174,0.007492674,0.46892698,0.56
0.018705067,0.002825417,0.00659683,0.518806271,0.56
0.02627316,0.001900455,0.00338483,0.612011849,0.56
0.02077043,0.003685376,0.003887504,0.509572507,0.58
0.020291567,0.000304131,0.003301729,0.481567848,0.56
