R1,R2,R3,R4
0.014165756,0.002209754,0.005244843,2.913011931
0.033342496,0.001357024,0.006458162,2.416660492
0.01855258,0.000547057,0.002790507,1.871304996
0.011461386,0.000442631,0.002481727,2.028598087
0.009007683,0.000993176,0.005972077,1.792410057
0.009739136,0.0017899,0.003387666,1.919783045
0.007925297,0.002206908,0.005040144,1.652760271
0.178451812,0.011278266,0.070545325,17.37769331
0.190150836,0.005801335,0.069244238,10.62206188
0.10298392,0.007497283,0.033646504,10.03023476
0.098135262,0.003830603,0.068140771,11.15957293
0.08715089,0.008264548,0.032211577,10.0024893
0.097139076,0.008302616,0.042638736,8.559188748
0.046170002,0.007179016,0.023027136,7.750555511
0.06471103,0.007486914,0.03437079,8.612721677
0.082029461,0.009429397,0.027507429,8.626273199
0.08869149,0.011470006,0.035745267,8.785056615
0.058488594,0.00388971,0.02766619,8.577896561
0.072057006,0.005077474,0.036374392,8.554193883
0.0847464,0.006935009,0.024864454,8.641621466
0.106589275,0.004396432,0.034907775,7.903451684
0.085535629,0.004940952,0.028799025,7.224704718
0.088250124,0.005634239,0.035128907,7.343778846
0.094639841,0.010803851,0.022399936,6.91707463
0.051764443,0.003771689,0.017248619,8.534265077
0.041282974,0.007538942,0.02029662,6.9316923
0.080533983,0.007882334,0.018261087,7.37764607
0.074682725,0.006586801,0.026052872,7.312766288
0.067383975,0.007664076,0.024749285,7.408427933
0.056316899,0.004596961,0.020895385,6.873959813
0.064860622,0.00699822,0.020947466,7.543176983
0.033955495,0.006022193,0.015814489,6.723616264
0.052913713,0.009005018,0.017858025,5.613258206
0.056731897,0.010401504,0.019060212,7.126277661
0.061375578,0.005935933,0.017946761,6.223556514
0.090464331,0.005353762,0.024476279,7.414783368
0.051698493,0.000873592,0.024244315,5.68986943
0.056954343,0.004552153,0.022589572,6.407122781
0.056927334,0.006813321,0.022531348,6.232069273
0.039635266,0.00734624,0.020546347,4.811979196
0.03133287,0.006702958,0.015116735,5.438071652
0.062393694,0.003157454,0.016723466,5.682323143
0.041460572,0.007436569,0.015728631,5.701051743
0.067060461,0.007807165,0.023168788,5.838083642
0.520693597,0.097567754,0.242389971,31.55459191
0.507687353,0.055249644,0.225729416,23.68615006
0.389591392,0.069192362,0.165316616,24.79788432
0.376910313,0.047886267,0.139149721,20.06419951
0.35369418,0.048214897,0.129122574,22.19597846
0.383239601,0.039480425,0.136750316,20.65477774
0.323948799,0.046358221,0.117802255,20.48082966
0.327096717,0.051100259,0.12250158,19.80443121
0.273152477,0.042649058,0.108455855,22.40631507
0.265234227,0.051855594,0.122513575,19.31008185
0.253719749,0.051134262,0.112724926,25.69069547
0.237751599,0.046167797,0.083476637,20.23432405
0.30590807,0.043293754,0.079585771,33.1694209
0.313353696,0.042327976,0.086815669,29.14064299
0.244541066,0.034106346,0.089952442,31.6895914
0.228147037,0.040810858,0.085036741,31.05349554
0.262137371,0.042548729,0.097911963,37.67022631
0.23145267,0.042276195,0.084411468,32.38574339
0.255892956,0.037014024,0.077885559,30.40471506
0.253621972,0.036460839,0.089025542,31.19044917
0.296511494,0.0497496,0.093030439,27.27785562
0.281419348,0.053870378,0.083916982,24.89463113
0.181458966,0.047785911,0.066173245,24.03613322
0.239476104,0.038622687,0.093780899,25.69612565
0.204296849,0.05311567,0.07585339,33.68827104
0.234268348,0.041937499,0.074827729,31.35957863
0.204284368,0.045788077,0.083353432,33.77660593
0.184688709,0.046037968,0.086879949,33.0001128
0.265561132,0.057969109,0.069229929,33.76839063
0.208168921,0.058929719,0.064228891,26.9797113
0.210783425,0.044357272,0.074287373,27.53409669
0.225079124,0.042819548,0.072051875,24.80475634
0.231039417,0.04518394,0.074672898,33.48462245
0.204010699,0.040911912,0.07778578,30.445302
0.193718315,0.039906493,0.068436599,33.77923497
0.20049731,0.043037958,0.05596543,27.59084605
0.311340427,0.049363829,0.065268951,32.1086693
0.22343605,0.034575358,0.069033184,28.75077762
0.250726659,0.040230472,0.0717201,27.64887693
0.240675829,0.042992795,0.078971043,29.93868228
0.920728737,0.166136899,0.38112656,76.33802213
0.684205311,0.094922268,0.26895168,48.91557586
0.718221853,0.191531546,0.312482758,65.32661714
0.599372832,0.165840346,0.236326638,48.20837405
0.626913115,0.162165447,0.239340275,56.04281744
0.622237258,0.141991085,0.203146114,50.92465882
0.631218733,0.154470018,0.228442185,56.55312344
0.630843778,0.130303973,0.209566311,50.34729207
0.677365542,0.167889839,0.236367634,57.92089889
0.634009642,0.153095357,0.227986442,52.31241875
0.548176323,0.142730098,0.185767003,55.28084614
0.48348432,0.11460581,0.157562505,46.26936529
0.548149042,0.132657967,0.172527834,48.6915495
0.515381156,0.131794396,0.164989294,48.10636887
0.407403569,0.119387969,0.132461464,46.03087935
0.564623885,0.14971409,0.150662238,44.38894792
0.542696708,0.134543511,0.155719837,50.61061134
0.450793454,0.124406609,0.130154131,44.79142201
0.529590599,0.148219171,0.140938949,47.83028161
0.446736461,0.116735358,0.154697631,44.86412351
0.507908917,0.09830829,0.145434557,41.97240821
0.497848084,0.117653388,0.167855814,42.86403953
0.563232539,0.150172957,0.171670499,46.60804124
0.445551746,0.120388048,0.148628147,40.11143796
0.432193635,0.129821213,0.126278848,42.60572292
0.468468189,0.103420256,0.127696862,39.49840348
0.477873487,0.133858754,0.154625473,51.28690205
0.512490673,0.129224135,0.141544461,45.06583905
0.517051558,0.134686989,0.151223178,52.78089685
0.454408582,0.107561229,0.140054159,37.8913152
0.438707421,0.090908689,0.141261641,50.72785656
0.481282865,0.099992711,0.138450556,39.45207648
0.529457936,0.117388093,0.151011535,51.36458332
0.510875397,0.121479722,0.138077661,46.63318716
0.443506345,0.11478384,0.128306772,41.79749677
0.460206343,0.117610427,0.138057746,40.30463079
0.458642763,0.132232089,0.128887943,41.09675515
0.44945313,0.130469976,0.146248894,43.86238472
0.335940893,0.112245983,0.120200798,45.08756993
0.430312391,0.116054546,0.139088659,41.86769134
1.789307057,0.289341869,0.78868874,176.8541847
1.315407735,0.149631115,0.634363542,98.29623468
1.112755867,0.156240589,0.497842377,118.116646
1.133580499,0.150971084,0.488271561,87.57211616
1.171958791,0.136299842,0.473054217,107.4964859
0.912875336,0.115344352,0.403656075,60.26475327
0.943503093,0.136791401,0.42659144,73.23190808
0.914594999,0.115727393,0.404559189,69.92440457
0.859165781,0.124197807,0.374327816,62.59320159
1.063112625,0.125128222,0.425923954,68.1873378
1.053625745,0.151356353,0.409272854,81.91174672
0.732113778,0.075539368,0.282842082,49.53533189
0.851734324,0.125361363,0.37323401,64.54801104
0.792703905,0.087411455,0.355812935,56.79086437
0.98522832,0.145034112,0.414274884,73.02602951
0.865369044,0.112365417,0.364256274,65.02593058
0.914942454,0.106110936,0.381299288,64.96684271
0.992161156,0.089373658,0.384051998,67.20917009
0.684828245,0.101764512,0.273106383,58.99825987
0.838473159,0.078575024,0.313477968,58.54696881
